grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,saleAmt,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmtCategory
0.003731292,0.008184236,0.008345295,0.008184236,0.001930502,0.005802708,0.005181347,0.013969133,0.00077835,0.003756829,0.007800099,0.003506364,0.003861004,0.003717044,0.042015133,0,0.04276895,0.055104278,0.001111651,0,0.014659978,0,0.029006217,0.117893133,0.442126971,0.086620281,Budget-Friendly Price
0.007269681,0.01208293,0.012093704,0.01208293,0.001930502,0.003868472,0.006217617,0.010941828,0.005876622,0.005768357,0.011951785,0.006105624,0.003861004,0.004647504,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013041614,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.008206638,0.00872824,0.008868329,0.00872824,0.005791506,0.005802708,0.006217617,0.02041947,0.00609701,0.005652385,0.011712314,0.005982841,0.005791506,0.00555878,0.042015133,0,0.04276895,0.055104278,0,0.646631196,0.015122403,0,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.006431931,0.01120648,0.00734572,0.01120648,0.001930502,0.003868472,0.005181347,0.007795805,0.003653637,0.005021277,0.01040995,0.005314606,0.003861004,0.004647504,0.042015133,0,0.04276895,0.104258282,0,0.646631196,0.014219891,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.005643786,0.010638298,0.010704759,0.010638298,0.001930502,0.003868472,0.007253886,0.003996834,0.003369043,0.00409689,0.008501864,0.00433584,0.003861004,0.004071962,0.042015133,0,0.04276895,0.055104278,0,0,0.016845416,0,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.006994105,0.006407157,0.006636718,0.006407157,0.003861004,0.005802708,0.007253886,0.011436486,0.006667774,0.005935308,0.012296265,0.006282399,0.007722008,0.004762613,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.016208428,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.008022002,0.014119923,0.007287605,0.014119923,0.003861004,0.005802708,0.008290155,0.009675505,0.005637129,0.006101008,0.012638183,0.00645785,0.005791506,0.005165492,0.042015133,0,0.04276895,0.055104278,0,0,0.014732898,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.012114298,0.019148936,0.011971663,0.019148936,0.003861004,0.005802708,0.007253886,0.008745548,0.008725123,0.007046018,0.014588528,0.007458441,0.007722008,0.006062379,0.042015133,0,0.04276895,0.104258282,0.001111651,0.205161964,0.015621159,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.006688217,0.011194391,0.005625519,0.011194391,0.001930502,0.003868472,0.006217617,0.009675505,0.006641776,0.005960127,0.012347489,0.006308682,0.005791506,0.005127123,0.042015133,0,0.04276895,0.104258282,0.001111651,0,0.014694897,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.006911433,0.007616054,0.005846356,0.007616054,0.001930502,0.003868472,0.004145078,0.004471706,0.006494063,0.006320722,0.013091514,0.006033513,0.001930502,0.003592343,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013174878,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
