grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
3848.0,1674.0,1674.0,1674.0,1.0,5.0,6.0,552.0,37602.0,83736.0,1204840.0,7776.06,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,ELECTRIC,None,BRICK VENEER,2016-06-06,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1199000.0
3391.0,1408.0,1408.0,1408.0,1.0,5.0,10.0,575.0,19203.0,60083.0,864500.0,5579.54,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2015-12-07,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,655000.0
3782.0,1798.0,1798.0,1798.0,1.0,6.0,11.0,462.0,14623.0,55023.0,791700.0,5109.66,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2020-07-28,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,407000.0
3395.0,1489.0,1489.0,1489.0,1.0,3.0,7.0,519.0,10258.0,56837.0,817800.0,5278.12,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,STONE,2012-06-15,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,497000.0
3003.0,1763.0,1026.0,1763.0,1.0,3.0,6.0,541.0,15519.0,52083.0,749400.0,4836.64,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,STONE,2016-08-16,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,650000.0
3490.0,1687.0,1423.0,1687.0,1.0,3.0,9.0,456.0,11162.0,51986.0,748000.0,4827.62,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2021-06-09,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,875000.0
3016.0,1818.0,1068.0,1818.0,1.0,3.0,9.0,550.0,14936.0,48101.0,692100.0,3821.46,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2023-06-20,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1000000.0
3682.0,2143.0,1033.0,2143.0,2.0,4.0,8.0,506.0,24596.0,57386.0,825700.0,5329.1,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2015-02-18,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,585000.0
3095.0,1389.0,1389.0,1389.0,1.0,4.0,8.0,506.0,16117.0,49540.0,712800.0,3955.08,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,MARBLECRETE,2019-11-18,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,736621.0
2928.0,1802.0,1066.0,1802.0,1.0,3.0,7.0,478.0,22817.0,56163.0,808100.0,5215.52,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2020-12-29,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,905000.0
