CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
CENTRAL,GOOD,MASONRY,GARAGE  DETACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  DETACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,CARPORT,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,CARPORT,MISCELLANEOUS
CENTRAL,GOOD,MASONRY,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,CARPORT,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  DETACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,GOOD,WOOD,GARAGE  BASEMENT,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,EXCELLENT,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,EXCELLENT,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
